REF	OUTPUT	F1	EM	chrf	bleu
Besides Chegg and Amazon, eBay Inc's Half.com is a popular alternative for used books.	Besides Chegg and Amazon, half .com, eBay Inc is also a popular alternative for used books.	0.3611111111111111	0.16666666666666666	45.91842342128907	33.333333333333336
Even when it was used, only people in specific industries worked closely with it - pipe laggers, builders, carpenters and shipyard workers, for example.	Even where it was still used, only people in certain industries worked directly with the substance - plumbers, construction workers, carpenters and shipyard workers, for example.	0.19999999999999998	0.14285714285714285	28.725611279616405	16.567653943736694
A 78-year-old man is to stand trial accused of running over a three-year-old girl on a pelican crossing in Fife.	A man stands Überfahrens 78-jähriger because of a three-year-old girl on a Fußgängerüberweg in Fife in court.	0.2333333333333333	0.1	50.555420149681886	18.678794411714428
Cyclists, joggers and walkers took part yesterday in the 8th Cycling Event on the Grosser Feldberg mountain, giving their support to 'Help for Children with Cancer'.	Cyclists, joggers and walkers were yesterday at the 8th cycle on the Great Feldberg here and have supported for the club "help for children with cancer."	0.4416666666666667	0.25	58.44117100006008	35.91360234216576
He said that the Medau family "were informed about the plans of the college in the middle of June.	For example, the family was already "in mid-June, Medau informed orally on the request of the university.	0.2	0.2	30.282470765813223	20.000000000000007
"I can post something funny on Facebook about what's going on with me and my partner and it will get 150 likes from all over the place," said Mitchell.	"I can publish something funny on Facebook about me and my partner and get 150 likes from everywhere," said Mitchell.	0.5333333333333333	0.4	48.328903888068616	47.35758882342886
Nothing else he wanted to see.	There was nothing, what it otherwise would want to see.	0.0	0.0	0.0	0.0
It posted revenues of $1.2 billion in 2013, up 6 percent from the year earlier.	It reported revenue for 2013 of 1.2 billions $, a climb of 6 percent in comparison with the preceding year.	0.5277777777777778	0.3333333333333333	58.122744364388474	50.00000000000001
And you say you hate me because my ankles are too thick?	And you say, you hate me, because my ankles are too fat?	1.0	1.0	100.0	100.00000000000004
And it was a success.	And it was a success.	1.0	1.0	100.0	100.00000000000004
May I suggest you read fewer novels.	I suggest that you read a few novels.	0.0	0.0	23.19794509552095	0.0
